1,Papa John's,PZZA,-,0,2021-11-06 21:56:12.232764-04,2021-11-06 21:56:12.232832-04,2
2,Domino's Pizza,DPZ,-,0,2021-11-06 21:57:07.609024-04,2021-11-06 21:57:07.609092-04,1
